Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Area µm^2,Perimeter µm
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,5f7d3ca7-8fe0-44d0-aef6-4e2a612a5aac,PathAnnotationObject,,Image,Polygon,7039.2,161381.2,60133728.3,34395.8
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,c9da64b6-1890-4d84-9111-6d976f2a28d4,PathAnnotationObject,,Image,Polygon,32119.6,30634.9,69934335.9,36512.5
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,35e90d9e-daf4-4c6d-933c-17b695c36e14,PathAnnotationObject,,Image,Polygon,53104.5,69726,66434118.9,34032.7
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,6385cb53-6c1e-4b84-b567-2b5a9b82bbd9,PathAnnotationObject,,Image,Polygon,85547.6,30625.3,38327376.3,26431.7
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,2d22d1f0-6dbc-4d65-86bb-9c00935ee294,PathAnnotationObject,,Image,Polygon,146013.9,105128.4,33182057.3,26715.1
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,952f5c4e-109c-4e1b-8482-cb03d351c9d4,PathAnnotationObject,,Image,Polygon,48665.6,167226.2,42912660.6,29542.5
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,4d341a46-bcfd-4646-b594-f4b2a60e9df9,PathAnnotationObject,,Image,Polygon,60583.2,110069.3,49493068.6,30820.1
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,b59f68aa-59d8-4151-b66d-22f921d8ddd4,PathAnnotationObject,,Image,Polygon,104133.7,172953.5,50193112,35053.4
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,57dd1863-7179-4f86-b898-0910edc0a5fd,PathAnnotationObject,,Image,Polygon,87914.9,68126.6,51208174.9,34150.1
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,b6352444-cb79-4858-b969-5bf59e610093,PathAnnotationObject,,Image,Polygon,31424.3,69678.1,53611424,31167.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,f0f7623a-d8c9-4910-ad01-d536c55be2ed,PathAnnotationObject,,Image,Polygon,81832.3,74622.6,79594934.9,37646
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,25df60d2-9101-4a2c-bef1-53fe2a57a74c,PathAnnotationObject,,Image,Polygon,140078.4,65744.3,40042482.6,27115.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,a27be649-f3cc-437a-8be6-21e327d72fd6,PathAnnotationObject,,Image,Polygon,104669.3,82176.4,55793459.2,36950.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,03800845-c24a-42cb-9873-e753bb9e28ee,PathAnnotationObject,,Image,Polygon,131678.2,169456.8,46587888.5,31194.2
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,97434e26-8f0d-43fb-ba1b-e1fdfa420ddd,PathAnnotationObject,,Image,Polygon,48307.5,75326.3,39097424,29697.5
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,38ec64a1-97e8-44de-b197-22c4dc60c5e1,PathAnnotationObject,,Image,Polygon,146746.5,65409.2,40042482.6,26805.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,91829c23-8865-45d6-9fb6-e98a6a94a64f,PathAnnotationObject,,Image,Polygon,50593,91179.4,33287063.8,25154.2
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,53810e34-7883-4b30-85d5-29b079170fb4,PathAnnotationObject,,Image,Polygon,57245.2,90624.8,36122239.6,30910.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,caebf41f-1ac1-4984-b447-336af1f6d5c1,PathAnnotationObject,,Image,Polygon,134763.9,41349.8,18831167.5,18339.3
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,60deb9ef-426c-4443-8b46-531b49869cb0,PathAnnotationObject,,Image,Polygon,82873.8,100480.4,50928157.6,30574.3
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,15c7a15a-afc1-4590-b53c-18125a415beb,PathAnnotationObject,,Image,Polygon,28119.6,134028,51698205.3,32471.8
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,499cf29d-72d3-4e16-8105-c0feceddca61,PathAnnotationObject,,Image,Polygon,6271.2,62563.8,66574127.6,34123.5
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,ff2424f2-46f4-4756-8be8-d73bdfcbd172,PathAnnotationObject,,Image,Polygon,70405.3,7926.7,10290638,14506.7
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,c3e709ba-061b-4336-bdf7-58feb0e9d396,PathAnnotationObject,,Image,Polygon,41288.6,138155.3,46657892.8,30445.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,b5ec9d53-ebe6-4382-971d-8bf58fedb70f,PathAnnotationObject,,Image,Polygon,46670.7,145802.6,59188669.7,33711.7
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,f9ee666f-dc46-4d74-93c1-2ec6e45f8b98,PathAnnotationObject,,Image,Polygon,66317.6,46256.6,20826291.2,24715.8
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,e2c05ec6-3955-4a64-947a-dd31d8cfc45f,PathAnnotationObject,,Image,Polygon,111994.1,75950.5,46062855.9,29451.8
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,fc781756-2e90-498b-bb9a-a9647c3ce616,PathAnnotationObject,,Image,Polygon,26598.6,98048.9,52573259.5,30729.3
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,79871783-b4a6-4530-bf0e-942e009a4eeb,PathAnnotationObject,,Image,Polygon,107863.5,164911.5,39412443.6,26805.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,96c820a1-fb38-4466-b5e3-c7f35a769df8,PathAnnotationObject,,Image,Polygon,74166.9,84447.8,43717710.5,31723.4
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,81dbcf62-60c7-4062-ba03-3c3607309aed,PathAnnotationObject,,Image,Polygon,122828,75165.7,56528504.8,33418.8
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,b68b7c70-c4c7-4233-8c39-f0d9c2104483,PathAnnotationObject,,Image,Polygon,72197.6,142314.3,48372999.1,28612.6
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,53bc1e04-f69d-4094-8ff2-27cd6149f4ab,PathAnnotationObject,,Image,Polygon,103442.6,62290.3,52818274.7,33401.7
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,897baeb5-185e-4efa-8276-66b6b88bf3e0,PathAnnotationObject,,Image,Polygon,84430.9,86188.4,46902908,30910.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,c68e8d8a-71e1-4f4e-8bfa-14d8d0536de2,PathAnnotationObject,,Image,Polygon,70716.8,174349.9,70984401,38666.8
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,9d0f9c1f-6479-4bf3-8c14-adb7b6488d41,PathAnnotationObject,,Image,Polygon,66304.2,115391.8,45537823.4,30445.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,cc42f138-ec42-4f8d-9acd-9433834e88ed,PathAnnotationObject,,Image,Polygon,141289.2,5137,54918404.9,32562.6
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,4efd5847-4154-4059-8902-95168fc33f86,PathAnnotationObject,,Image,Polygon,68916.9,167044.6,31070726.1,26161.5
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,6111bb30-81c6-4efb-93f6-6c7651d15fea,PathAnnotationObject,,Image,Polygon,50852.6,16414.7,60798769.5,34898.4
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,a825b214-b381-4133-abc2-28aa71389042,PathAnnotationObject,,Image,Polygon,108272.2,50340,62723888.9,37170.1
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,81044dcd-97ba-41b2-9c56-14a9fc2b2009,PathAnnotationObject,,Image,Polygon,145031,115646.6,59153667.5,33465.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,a797d55e-de81-4f66-906d-f25173fd3313,PathAnnotationObject,,Image,Polygon,78411.6,118784.6,48337997,29606.7
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,634c02fc-62bb-4abf-a459-50d5fd5303ae,PathAnnotationObject,,Image,Polygon,80336.5,127367.6,51173172.7,32626.8
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,466da2f8-d4c6-4a69-9da0-3a19962bc7fa,PathAnnotationObject,,Image,Polygon,95129.3,9307.2,67764201.4,38228.4
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,e9665553-cd74-406b-b849-c7bc62bd7d89,PathAnnotationObject,,Image,Polygon,99129.7,52226.9,52433250.9,31130
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,78628d9b-012a-48ae-9fe8-f61158c8dcf3,PathAnnotationObject,,Image,Polygon,34588.6,95352,38012356.8,27645.1
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,3d1616cd-0836-452f-a491-b5ef949e68c9,PathAnnotationObject,,Image,Polygon,69267.7,60317,42842656.2,29051
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,06afce1a-0295-46bf-949b-8a4a68f7b246,PathAnnotationObject,,Image,Polygon,82467.4,8413.8,37312313.4,26896.7
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,750c4fd3-50f4-4f59-9895-244d3dc2aa22,PathAnnotationObject,,Image,Polygon,97209.7,169473.8,71019403.2,39880.1
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,e0bcb7ad-69a9-4ed2-91f3-e0160ecf6a76,PathAnnotationObject,,Image,Polygon,114523.3,28879.8,39482447.9,29542.5
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,81ac620d-f3c2-4b4c-a0b8-0e2356567d0f,PathAnnotationObject,,Image,Polygon,21276.9,78128.5,42352625.9,27864.3
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,521a2e1c-428c-4a64-9d0c-418c45552b1f,PathAnnotationObject,,Image,Polygon,55721.7,133909.4,49843090.3,30820.1
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,1882b46b-834c-44d1-8d5b-f765faf3e9c6,PathAnnotationObject,,Image,Polygon,139038.4,136089.6,38817406.7,27270.9
L10-1 FFPE Exp 14 ms Gain 1 Satur 100.tif,d8decec5-4475-4a8b-b8e9-a8f7c0d0f4bb,PathAnnotationObject,,Image,Polygon,124560.4,162830,48372999.1,31969.2
